"emotion
[ɪˈmoʊ.ʃən]"	핵심 뜻: 감정
"confidence
[ˈkɑːn.fə.dəns]"	"핵심 뜻: 자신감 / 확신
구분: confidence=해낼 수 있다는 자신감 / certainty=사실이라고 보는 확실성"
"coping
[ˈkoʊ.pɪŋ]"	핵심 뜻: 대처
"disengagement
[ˌdɪs.ɪŋˈɡeɪdʒ.mənt]"	핵심 뜻: 이탈
"expectancy
[ɪkˈspek.tən.si]"	"핵심 뜻: 기대치
구분: expectancy=행동과 결과의 연결 기대 / expectation=앞으로 일어날 예상"
"fixation
[fɪkˈseɪ.ʃən]"	핵심 뜻: 고착
"attentiveness
[əˈten.t̬ɪv.nəs]"	핵심 뜻: 주의 깊음
"frustration
[frʌsˈtreɪ.ʃən]"	"핵심 뜻: 좌절감
구분: frustration=막혀서 생기는 좌절감 / disappointment=기대가 깨진 실망"
"habituation
[həˌbɪtʃ.uˈeɪ.ʃən]"	핵심 뜻: 습관화
"imitation
[ˌɪm.əˈteɪ.ʃən]"	핵심 뜻: 모방
"inferential
[ˌɪn.fərˈen.ʃəl]"	핵심 뜻: 추론적인
"inhibition
[ˌɪn.hɪˈbɪʃ.ən]"	"핵심 뜻: 억제
구분: inhibition=반응에 브레이크를 거는 억제 / restraint=행동을 스스로 절제함"
"introspection
[ˌɪn.trəˈspek.ʃən]"	핵심 뜻: 내성
"intuition
[ˌɪn.tuːˈɪʃ.ən]"	"핵심 뜻: 직관
구분: intuition=설명 전 먼저 오는 직감 / reasoning=근거를 따라 따지는 사고"
"optimism
[ˈɑːp.tə.mɪ.zəm]"	핵심 뜻: 낙관주의
"pessimism
[ˈpes.ə.mɪ.zəm]"	핵심 뜻: 비관주의
"persuasion
[pɚˈsweɪ.ʒən]"	"핵심 뜻: 설득
구분: persuasion=상대 생각을 설득으로 바꿈 / coercion=강제로 따르게 함"
"rationalization
[ˌræʃ.ən.əl.əˈzeɪ.ʃən]"	핵심 뜻: 합리화
"reinforcement
[ˌriː.ɪnˈfɔːrs.mənt]"	"핵심 뜻: 강화
구분: reinforcement=행동을 강화하는 결과 / reward=그 결과로 주어지는 보상"
"reward
[rɪˈwɔːrd]"	"핵심 뜻: 보상
구분: reward=행동 뒤에 주어지는 보상 / reinforcement=행동을 굳히는 강화 효과"
"rumination
[ˌruː.məˈneɪ.ʃən]"	핵심 뜻: 반추
"situational
[ˌsɪtʃ.uˈeɪ.ʃən.əl]"	핵심 뜻: 상황적인
"socialization
[ˌsoʊ.ʃəl.əˈzeɪ.ʃən]"	핵심 뜻: 사회화
"threat
[θret]"	핵심 뜻: 위협
"vigilance
[ˈvɪdʒ.əl.əns]"	"핵심 뜻: 경계심
구분: vigilance=계속 깨어 살피는 경계 / awareness=알아차림 상태"
"workload
[ˈwɝːk.loʊd]"	핵심 뜻: 업무량
"choice
[tʃɔɪs]"	핵심 뜻: 선택
"impulse
[ˈɪm.pʌls]"	"핵심 뜻: 충동
구분: impulse=생각 전에 튀는 충동 / intention=하려고 정한 의도"
"meaning
[ˈmiː.nɪŋ]"	핵심 뜻: 의미
"pattern
[ˈpæt̬.ɚn]"	핵심 뜻: 패턴
"risk
[rɪsk]"	"핵심 뜻: 위험
구분: risk=손실 가능성을 안은 위험 / uncertainty=결과를 확신할 수 없음"
"self-directed
[ˌself.dɪˈrek.tɪd]"	핵심 뜻: 자기주도적인
"goal-oriented
[goʊl ˈɔriˌɛntɪd]"	핵심 뜻: 목표 지향적인
"task-focused
[tæsk ˈfoʊkɪst]"	핵심 뜻: 과제 중심의
"value-based
[ˈvælju beɪst]"	핵심 뜻: 가치 기반의
"uncertainty-reduction
[ənˈsərtənti rɪˈdəkʃən]"	핵심 뜻: 불확실성 감소
"agency
[ˈeɪ.dʒən.si]"	핵심 뜻: 주체성
"ambition
[æmˈbɪʃ.ən]"	핵심 뜻: 야망
"appetite
[ˈæp.ə.taɪt]"	핵심 뜻: 욕구
"assertion
[əˈsɝː.ʃən]"	핵심 뜻: 단언
"association
[əˌsoʊ.siˈeɪ.ʃən]"	핵심 뜻: 연상
"calm
[kɑːm]"	핵심 뜻: 차분함
"delay
[dɪˈleɪ]"	핵심 뜻: 지연
"desire
[dɪˈzaɪr]"	핵심 뜻: 욕구
"discipline
[ˈdɪs.ə.plɪn]"	핵심 뜻: 자기절제 / 규율
"drive
[draɪv]"	핵심 뜻: 추진력
"engagement
[ɪnˈɡeɪdʒ.mənt]"	"핵심 뜻: 몰입
구분: engagement=활동에 실제로 붙어 있는 참여와 몰입 / commitment=계속 책임지려는 헌신"
