"usable
[ˈjuː.zə.bəl]"	핵심 뜻: 사용 가능한
"persuasive
[pɚˈsweɪ.sɪv]"	핵심 뜻: 설득력 있는
"vapor
[ˈveɪ.pɚ]"	핵심 뜻: 증기 / 수증기
"restoration
[ˌres.təˈreɪ.ʃən]"	"핵심 뜻: 복원 / 회복
구분: restoration=훼손 상태를 되돌림 / preservation=현재 상태 보존"
"conservation
[ˌkɑːn.sɚˈveɪ.ʃən]"	"핵심 뜻: 보전
구분: conservation=자원을 보호하며 관리 / preservation=손대지 않고 보존"
"degradation
[ˌdeɡ.rəˈdeɪ.ʃən]"	"핵심 뜻: 악화
구분: degradation=질이 떨어지는 악화 / deterioration=점진적 악화"
"renewable
[rɪˈnuː.ə.bəl]"	핵심 뜻: 재생 가능한
"finite
[ˈfaɪ.naɪt]"	핵심 뜻: 유한한
"productive
[prəˈdʌk.tɪv]"	핵심 뜻: 생산적인
"structured
[ˈstrʌk.tʃɚd]"	핵심 뜻: 구조화된
"transferable
[trænsˈfɝː.ə.bəl]"	핵심 뜻: 전이 가능한
"disruption
[dɪsˈrʌp.ʃən]"	핵심 뜻: 교란
"awareness
[əˈwer.nəs]"	핵심 뜻: 인식 / 자각
"arousal
[əˈraʊ.zəl]"	핵심 뜻: 각성
"attachment
[əˈtætʃ.mənt]"	핵심 뜻: 애착
"aversion
[əˈvɝː.ʒən]"	핵심 뜻: 혐오
"behavioral
[bɪˈheɪ.vjɚ.əl]"	핵심 뜻: 행동의
"belief
[bɪˈliːf]"	"핵심 뜻: 믿음 / 신념
구분: belief=사실처럼 받아들이는 믿음 / assumption=검증 전 가정"
"burnout
[ˈbɝːn.aʊt]"	핵심 뜻: 번아웃
"concentration
[ˌkɑːn.sənˈtreɪ.ʃən]"	핵심 뜻: 집중
"conformity
[kənˈfɔːr.mə.t̬i]"	핵심 뜻: 동조
"curiosity
[ˌkjʊr.iˈɑː.sə.t̬i]"	핵심 뜻: 호기심
"deliberation
[dɪˌlɪb.əˈreɪ.ʃən]"	핵심 뜻: 숙고
"dependency
[dɪˈpen.dən.si]"	핵심 뜻: 의존성
"distraction
[dɪˈstræk.ʃən]"	핵심 뜻: 주의 산만
