"pickup
[ˈpɪk.ʌp]"	핵심 뜻: 수령
"sincerely
[sɪnˈsɪr.li]"	핵심 뜻: 진심으로
"courteous
[ˈkɝː.t̬i.əs]"	핵심 뜻: 정중한
"respectfully
[rɪˈspekt.fəl.i]"	핵심 뜻: 정중하게
"request
[rɪˈkwest]"	핵심 뜻: 요청하다
"availability
[əˌveɪ.ləˈbɪl.ə.t̬i]"	"핵심 뜻: 가능 시간 / 이용 가능성
구분: availability=가능 여부·가능 시간 / accessibility=접근 가능성"
"advisor
[ædˈvaɪzər]"	"핵심 뜻: 지도교수·상담자
구분: advisor=조언·학업 지도 담당 / supervisor=업무·연구 감독"
"troubleshooting
[ˈtrʌb.əlˌʃuː.t̬ɪŋ]"	"핵심 뜻: 문제 해결 점검 / 오류 해결
구분: troubleshooting=오류 원인을 찾아 해결 / repair=고장 난 것을 고치다"
"approximation
[əˌprɑːk.səˈmeɪ.ʃən]"	"핵심 뜻: 근사치 / 어림값
구분: approximation=정확값에 가까운 값 / estimate=대략 어림한 값"
"scatter
[ˈskæt̬.ɚ]"	"핵심 뜻: 흩어지다
구분: scatter=흩어져 퍼지다 / cluster=가깝게 모이다"
"cluster
[ˈklʌs.tɚ]"	"핵심 뜻: 군집
구분: cluster=가깝게 모인 군집 / scatter=흩어짐"
"outlier
[ˈaʊtˌlaɪ.ɚ]"	"핵심 뜻: 이상치 / 유난한 값
구분: outlier=다른 값과 크게 벗어난 이상치 / anomaly=눈에 띄는 이례 현상"
"forecast
[ˈfɔːr.kæst]"	"핵심 뜻: 예측하다 / 전망하다
구분: forecast=근거를 바탕으로 전망하다 / estimate=현재 값을 어림잡다"
"percentage
[pɚˈsen.t̬ɪdʒ]"	"핵심 뜻: 백분율
구분: percentage=전체 중 몇 퍼센트인지 / percent point=퍼센트의 차이"
"median
[ˈmiː.di.ən]"	"핵심 뜻: 중앙값
구분: median=가운데 값 / mean=산술평균"
"mean
[miːn]"	"핵심 뜻: 평균값
구분: mean=산술평균 / median=가운데 값"
