removed_from	replaced_with	reason
toefl_awl_set_02.tsv:26	consent	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:31)
toefl_awl_set_02.tsv:27	considerable	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:16)
toefl_awl_set_02.tsv:28	constant	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:18)
toefl_awl_set_02.tsv:30	contribute	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_06.tsv:57)
toefl_awl_set_02.tsv:31	convene	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_13.tsv:16)
toefl_awl_set_02.tsv:32	coordinate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:22)
toefl_awl_set_02.tsv:33	core	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:23)
toefl_awl_set_02.tsv:39	document	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_06.tsv:83)
toefl_awl_set_02.tsv:41	emphasis	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:48)
toefl_awl_set_02.tsv:43	exclude	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:38)
toefl_awl_set_02.tsv:44	framework	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:43)
toefl_awl_set_02.tsv:45	fund	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:57)
toefl_awl_set_02.tsv:46	illustrate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_07.tsv:10)
toefl_awl_set_02.tsv:47	immigrate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:49)
toefl_awl_set_02.tsv:49	initial	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:58)
toefl_awl_set_02.tsv:50	instance	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:59)
toefl_awl_set_02.tsv:51	interact	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:59)
toefl_awl_set_02.tsv:52	justify	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:21)
toefl_awl_set_02.tsv:53	layer	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:65)
toefl_awl_set_02.tsv:54	link	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:68)
toefl_awl_set_02.tsv:55	locate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:69)
toefl_awl_set_02.tsv:59	outcome	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:73)
toefl_awl_set_02.tsv:63	proportion	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:77)
toefl_awl_set_02.tsv:65	react	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:91)
toefl_awl_set_02.tsv:66	register	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:93)
toefl_awl_set_02.tsv:67	rely	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:95)
toefl_awl_set_02.tsv:70	sequence	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:98)
toefl_awl_set_02.tsv:73	specify	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:99)
toefl_awl_set_02.tsv:74	sufficient	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:92)
toefl_awl_set_02.tsv:79	valid	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_07.tsv:55)
toefl_awl_set_02.tsv:80	volume	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:99)
toefl_awl_set_02.tsv:81	access	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:1)
toefl_awl_set_02.tsv:83	annual	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:9)
toefl_awl_set_02.tsv:84	apparent	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:52)
toefl_awl_set_02.tsv:85	approximate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:10)
toefl_awl_set_02.tsv:87	attribute	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:32)
toefl_awl_set_02.tsv:88	civil	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:22)
toefl_awl_set_02.tsv:89	code	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:23)
toefl_awl_set_02.tsv:93	confer	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:30)
toefl_awl_set_02.tsv:95	cycle	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:38)
toefl_awl_set_02.tsv:97	despite	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:40)
toefl_awl_set_02.tsv:98	dimension	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:42)
toefl_awl_set_02.tsv:99	domestic	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:30)
toefl_awl_set_03.tsv:1	error	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:51)
toefl_awl_set_03.tsv:2	ethnic	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_06.tsv:27)
toefl_awl_set_03.tsv:3	goal	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:58)
toefl_awl_set_03.tsv:4	grant	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:45)
toefl_awl_set_03.tsv:5	hence	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:46)
toefl_awl_set_03.tsv:6	hypothesis	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:43)
toefl_awl_set_03.tsv:7	implement	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:50)
toefl_awl_set_03.tsv:9	impose	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:51)
toefl_awl_set_03.tsv:10	integrate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:19)
toefl_awl_set_03.tsv:11	internal	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:61)
toefl_awl_set_03.tsv:14	label	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:64)
toefl_awl_set_03.tsv:15	mechanism	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:66)
toefl_awl_set_03.tsv:17	occupy	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:77)
toefl_awl_set_03.tsv:18	option	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:72)
toefl_awl_set_03.tsv:19	output	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:78)
toefl_awl_set_03.tsv:20	overall	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:74)
toefl_awl_set_03.tsv:21	parallel	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:75)
toefl_awl_set_03.tsv:22	parameter	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:76)
toefl_awl_set_03.tsv:23	phase	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:77)
toefl_awl_set_03.tsv:24	predict	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:83)
toefl_awl_set_03.tsv:26	prior	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:86)
toefl_awl_set_03.tsv:27	professional	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:87)
toefl_awl_set_03.tsv:28	project	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:89)
toefl_awl_set_03.tsv:29	promote	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:90)
toefl_awl_set_03.tsv:30	regime	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_14.tsv:18)
toefl_awl_set_03.tsv:31	resolve	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:83)
toefl_awl_set_03.tsv:32	retain	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:85)
toefl_awl_set_03.tsv:37	subsequent	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:91)
toefl_awl_set_03.tsv:39	summary	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_11.tsv:41)
toefl_awl_set_03.tsv:42	adjust	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_06.tsv:7)
toefl_awl_set_03.tsv:43	alter	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:2)
toefl_awl_set_03.tsv:44	amend	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:7)
toefl_awl_set_03.tsv:46	capacity	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:33)
toefl_awl_set_03.tsv:49	compound	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:29)
toefl_awl_set_03.tsv:51	consult	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:33)
toefl_awl_set_03.tsv:52	contact	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:33)
toefl_awl_set_03.tsv:54	discrete	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:43)
toefl_awl_set_03.tsv:55	draft	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_06.tsv:91)
toefl_awl_set_03.tsv:57	energy	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:45)
toefl_awl_set_03.tsv:58	enforce	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:46)
toefl_awl_set_03.tsv:59	entity	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:47)
toefl_awl_set_03.tsv:60	equivalent	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:35)
toefl_awl_set_03.tsv:64	external	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:41)
toefl_awl_set_03.tsv:65	facilitate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:17)
toefl_awl_set_03.tsv:66	fundamental	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:64)
toefl_awl_set_03.tsv:69	image	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:62)
toefl_awl_set_03.tsv:72	logic	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:70)
toefl_awl_set_03.tsv:73	margin	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:71)
toefl_awl_set_03.tsv:74	medical	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:72)
toefl_awl_set_03.tsv:75	mental	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:73)
toefl_awl_set_03.tsv:76	modify	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:66)
toefl_awl_set_03.tsv:77	monitor	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:67)
toefl_awl_set_03.tsv:78	network	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:68)
toefl_awl_set_03.tsv:79	notion	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:69)
toefl_awl_set_03.tsv:80	objective	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:71)
toefl_awl_set_03.tsv:82	perspective	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:81)
toefl_awl_set_03.tsv:83	precise	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:82)
toefl_awl_set_03.tsv:87	ratio	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:79)
toefl_awl_set_03.tsv:89	revenue	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_05.tsv:83)
toefl_awl_set_03.tsv:90	stable	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:100)
toefl_awl_set_03.tsv:93	sustain	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:92)
toefl_awl_set_03.tsv:94	symbol	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_06.tsv:77)
toefl_awl_set_03.tsv:98	version	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:98)
toefl_awl_set_03.tsv:99	welfare	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:100)
toefl_awl_set_04.tsv:1	abstract	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_20.tsv:82)
toefl_awl_set_04.tsv:6	assign	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:14)
toefl_awl_set_04.tsv:7	attach	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:15)
toefl_awl_set_04.tsv:10	brief	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:18)
toefl_awl_set_04.tsv:11	capable	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:5)
toefl_awl_set_04.tsv:15	display	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:42)
toefl_awl_set_04.tsv:16	diverse	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:58)
toefl_awl_set_04.tsv:17	domain	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:46)
toefl_awl_set_04.tsv:18	edit	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:44)
toefl_awl_set_04.tsv:19	enhance	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:14)
toefl_awl_set_04.tsv:20	estate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_14.tsv:37)
toefl_awl_set_04.tsv:21	exceed	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:53)
toefl_awl_set_04.tsv:22	expert	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:54)
toefl_awl_set_04.tsv:23	explicit	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:39)
toefl_awl_set_04.tsv:26	flexible	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:56)
toefl_awl_set_04.tsv:28	gender	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_06.tsv:32)
toefl_awl_set_04.tsv:30	incentive	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:52)
toefl_awl_set_04.tsv:31	incidence	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:53)
toefl_awl_set_04.tsv:32	incorporate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:54)
toefl_awl_set_04.tsv:34	inhibit	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:57)
toefl_awl_set_04.tsv:36	input	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_15.tsv:25)
toefl_awl_set_04.tsv:37	instruct	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_07.tsv:21)
toefl_awl_set_04.tsv:39	interval	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:62)
toefl_awl_set_04.tsv:40	lecture	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:63)
toefl_awl_set_04.tsv:41	migrate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:64)
toefl_awl_set_04.tsv:42	minimum	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:65)
toefl_awl_set_04.tsv:48	precede	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:82)
toefl_awl_set_04.tsv:50	rational	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:80)
toefl_awl_set_04.tsv:51	recover	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:88)
toefl_awl_set_04.tsv:52	reveal	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:89)
toefl_awl_set_04.tsv:53	scope	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:90)
toefl_awl_set_04.tsv:54	subsidy	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:91)
toefl_awl_set_04.tsv:56	trace	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_14.tsv:3)
toefl_awl_set_04.tsv:57	transform	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:95)
toefl_awl_set_04.tsv:58	transport	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:96)
toefl_awl_set_04.tsv:61	adapt	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_06.tsv:1)
toefl_awl_set_04.tsv:62	adult	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:6)
toefl_awl_set_04.tsv:63	advocate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_06.tsv:29)
toefl_awl_set_04.tsv:64	aid	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:8)
toefl_awl_set_04.tsv:65	channel	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:7)
toefl_awl_set_04.tsv:66	chemical	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:21)
toefl_awl_set_04.tsv:68	comprehensive	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:11)
toefl_awl_set_04.tsv:72	convert	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:34)
toefl_awl_set_04.tsv:73	couple	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:35)
toefl_awl_set_04.tsv:74	decade	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:24)
toefl_awl_set_04.tsv:75	definite	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:25)
toefl_awl_set_04.tsv:76	deny	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:26)
toefl_awl_set_04.tsv:78	dispose	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:43)
toefl_awl_set_04.tsv:79	dynamic	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_06.tsv:96)
toefl_awl_set_04.tsv:80	eliminate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_07.tsv:97)
toefl_awl_set_04.tsv:81	empirical	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_06.tsv:98)
toefl_awl_set_04.tsv:83	extract	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:42)
toefl_awl_set_04.tsv:85	finite	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_11.tsv:96)
toefl_awl_set_04.tsv:89	guarantee	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:59)
toefl_awl_set_04.tsv:90	hierarchy	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:47)
toefl_awl_set_04.tsv:92	ideology	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:53)
toefl_awl_set_04.tsv:93	infer	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:56)
toefl_awl_set_04.tsv:94	innovate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:56)
toefl_awl_set_04.tsv:96	intervene	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:61)
toefl_awl_set_04.tsv:97	isolate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:62)
toefl_awl_set_04.tsv:100	paradigm	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:67)
toefl_awl_set_05.tsv:1	phenomenon	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:78)
toefl_awl_set_05.tsv:2	priority	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_07.tsv:27)
toefl_awl_set_05.tsv:3	prohibit	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:88)
toefl_awl_set_05.tsv:5	quote	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:85)
toefl_awl_set_05.tsv:8	simulate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:89)
toefl_awl_set_05.tsv:14	thesis	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_18.tsv:43)
toefl_awl_set_05.tsv:15	topic	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:93)
toefl_awl_set_05.tsv:22	accompany	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:2)
toefl_awl_set_05.tsv:25	append	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:10)
toefl_awl_set_05.tsv:26	appreciate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:11)
toefl_awl_set_05.tsv:28	automate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:16)
toefl_awl_set_05.tsv:31	clarify	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:6)
toefl_awl_set_05.tsv:32	commodity	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:25)
toefl_awl_set_05.tsv:33	complement	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:28)
toefl_awl_set_05.tsv:35	contemporary	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:20)
toefl_awl_set_05.tsv:36	contradict	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:36)
toefl_awl_set_05.tsv:38	currency	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:37)
toefl_awl_set_05.tsv:42	displace	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:41)
toefl_awl_set_05.tsv:46	exploit	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:50)
